id;name_fr;name_en;price;description_fr;description_en;summary_fr;summary_en;images;multipliers;metals_fr;metals_en;coin_lots;languages;customizable;triptych_options;triptych_type;category
coin-custom-single;"Pièce Personnalisée";"Custom Coin";10;"### Pièce unique à votre choix

Choisissez **le métal** (cuivre, argent, électrum, or, platine) et **le multiplicateur** (unitaire, ×10, ×100, ×1000, ×10000) pour créer votre pièce sur mesure.

*Parfait pour compléter une collection ou remplacer une pièce perdue.*";"### Single coin of your choice

Select **the metal** (copper, silver, electrum, gold, platinum) and **multiplier** (unit, ×10, ×100, ×1000, ×10000) to create your custom coin.

*Perfect for completing a collection or replacing a lost coin.*";"Pièce métallique personnalisable avec choix du métal et du multiplicateur.";"Customizable metal coin with choice of metal and multiplier.";/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp;1|10|100|1000|10000;cuivre|argent|électrum|or|platine;copper|silver|electrum|gold|platinum;"{""copper"":1,""silver"":1,""electrum"":1,""gold"":1,""platinum"":1}";;VRAI;;;pieces
coin-trio-customizable;"Trio de Pièces";"Trio of Coins";25;"### Trois pièces personnalisables

**3 pièces métalliques** au choix avec métal et multiplicateur personnalisables. Idéal pour compléter une collection ou créer un petit trésor sur mesure.

**Contenu :**
- 3 pièces au choix de métal et multiplicateur

*Parfait pour débuter ou compléter votre collection de pièces !*";"### Three customizable coins

**3 metal coins** of your choice with customizable metal and multiplier. Perfect for completing a collection or creating a small custom treasure.

**Contents:**
- 3 coins with choice of metal and multiplier

*Perfect for starting or completing your coin collection!*";"Lot de trois pièces personnalisables avec choix du métal et multiplicateur unique.";"Set of three customizable coins with choice of metal and single multiplier.";/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp;1|10|100|1000|10000;cuivre|argent|électrum|or|platine;copper|silver|electrum|gold|platinum;"{""copper"":3,""silver"":3,""electrum"":3,""gold"":3,""platinum"":3}";;VRAI;;;pieces
coin-quintessence-metals;"Quintessence Métallique";"Metal Quintessence";35;"### Cinq métaux, un multiplicateur

**5 pièces de métaux différents** appliquant le même multiplicateur choisi : une de chaque métal (cuivre, argent, électrum, or, platine) avec finition uniforme.

**Contenu :**
- 1 pièce de cuivre
- 1 pièce d'argent
- 1 pièce d'électrum
- 1 pièce d'or
- 1 pièce de platine

*Découvrez la diversité des métaux avec une valeur cohérente !*";"### Five metals, one multiplier

**5 coins of different metals** applying the same chosen multiplier: one of each metal (copper, silver, electrum, gold, platinum) with uniform finish.

**Contents:**
- 1 copper coin
- 1 silver coin
- 1 electrum coin
- 1 gold coin
- 1 platinum coin

*Discover the diversity of metals with consistent value!*";"Collection de cinq pièces avec un de chaque métal et multiplicateur uniforme.";"Collection of five coins with one of each metal and uniform multiplier.";/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp;1|10|100|1000|10000;;;"{""copper"":1,""silver"":1,""electrum"":1,""gold"":1,""platinum"":1}";;VRAI;;;pieces
coin-septuple-free;"Septuple Libre";"Free Septuple";50;"### Sept pièces entièrement personnalisables

**7 pièces métalliques** avec choix libre du métal et du multiplicateur pour chaque pièce. Créez votre propre assortiment selon vos besoins précis.

**Contenu :**
- 7 pièces avec choix libre du métal et multiplicateur

*Composez votre trésor exact selon vos besoins de jeu !*";"### Seven fully customizable coins

**7 metal coins** with free choice of metal and multiplier for each coin. Create your own assortment according to your precise needs.

**Contents:**
- 7 coins with free choice of metal and multiplier

*Compose your exact treasure according to your game needs!*";"Lot de sept pièces avec choix libre du métal et multiplicateur pour chaque pièce.";"Set of seven coins with free choice of metal and multiplier for each coin.";/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp;1|10|100|1000|10000;cuivre|argent|électrum|or|platine;copper|silver|electrum|gold|platinum;"{""copper"":7,""silver"":7,""electrum"":7,""gold"":7,""platinum"":7}";;VRAI;;;pieces
coin-traveler-offering;"Offrande du Voyageur";"The Traveler Offering";60;"### Trésor de départ immersif

**10 pièces en métal** : **2 de chaque métal** (cuivre, argent, électrum, or, platine). Vous choisissez **un seul multiplicateur** pour tout le lot : *unitaire* par défaut (brillant, sans gravure) ou **x10 / x100 / x1 000 / x10 000** (gravure nette, finition légèrement mate).

**Contenu :**
- 2 pièces de cuivre
- 2 pièces d'argent
- 2 pièces d'électrum
- 2 pièces d'or
- 2 pièces de platine

*Utilisez les multiplicateurs pour accélérer les comptes sans perdre l'immersion.*";"### Immersive starter hoard

**10 metal coins** : **2 of each metal** (copper, silver, electrum, gold, platinum). Choose **one multiplier** for the whole set: *unit* by default (shiny, no engraving) or **x10 / x100 / x1,000 / x10,000** (crisp engraving, slightly matte).

**Contents:**
- 2 copper coins
- 2 silver coins
- 2 electrum coins
- 2 gold coins
- 2 platinum coins

*Use multipliers to speed up counting without breaking immersion.*";"Ensemble de 10 pièces métalliques assorties avec multiplicateur unique pour accélérer les comptes.";"Set of 10 assorted metal coins with a single multiplier to speed up tallying.";/media/products/bundles/Vagabon.webp|/media/products/bundles/VagabonPlast.webp|/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/ef.webp|/media/products/coins/of.webp|/media/products/coins/pf.webp|/media/products/coins/x1f2.webp|/media/products/coins/x100f3.webp;1|10|100|1000|10000;;;"{""copper"":2,""silver"":2,""electrum"":2,""gold"":2,""platinum"":2}";;FAUX;;;pieces
coin-five-realms-complete;"La Monnaie des Cinq Royaumes";"Currency of the Five Realms";145;"### 25 pièces, zéro doublon

**5 métaux × 5 multiplicateurs** = **25 modèles uniques**. Chaque métal existe en *unitaire* (brillant) et **x10 / x100 / x1 000 / x10 000** (gravure mate).

**Contenu :**
- 25 pièces uniques (5 métaux × 5 multiplicateurs)
- Tous les modèles sans doublon
- Finitions brillantes et mates

*Utilisez les multiplicateurs pour accélérer les comptes sans perdre l'immersion.*";"### 25 coins, no duplicates

**5 metals × 5 multipliers** = **25 unique designs**. Each metal comes in *unit* (shiny) and **x10 / x100 / x1,000 / x10,000** (matte engraving). **Everything included** — no selection needed.

**Contents:**
- 25 unique coins (5 metals × 5 multipliers)
- All designs without duplicates
- Shiny and matte finishes

*Use multipliers to speed up counting without breaking immersion.*";"Collection de 25 pièces uniques couvrant les cinq métaux et tous les multiplicateurs pour la table.";"Collection of 25 unique coins covering five metals and every multiplier for the table.";/media/products/bundles/Seignieur.webp|/media/products/bundles/Seignieurplast.webp|/media/products/coins/x1f2.webp|/media/products/coins/x1p2.webp|/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp;;;;"{""copper"":{""1"":1,""10"":1,""100"":1,""1000"":1,""10000"":1},""silver"":{""1"":1,""10"":1,""100"":1,""1000"":1,""10000"":1},""electrum"":{""1"":1,""10"":1,""100"":1,""1000"":1,""10000"":1},""gold"":{""1"":1,""10"":1,""100"":1,""1000"":1,""10000"":1},""platinum"":{""1"":1,""10"":1,""100"":1,""1000"":1,""10000"":1}}";;FAUX;;;pieces
coin-merchant-essence-double;"Essence du Marchand";"Essence of the Merchant";275;"### 50 pièces, double variété

**2 exemplaires** de chacun des **25 modèles** de la *Monnaie des Cinq Royaumes* : total **50 pièces**. Unitaire (brillant) et x10/x100/x1 000/x10 000 (gravure mate).

**Contenu :**
- 50 pièces (2 de chaque modèle)
- Tous les métaux et multiplicateurs
- Double exemplaire pour usage intensif

*Utilisez les multiplicateurs pour accélérer les comptes sans perdre l'immersion.*";"### 50 coins, double the variety

**2 copies** of each of the **25 designs** from the *Currency of the Five Realms* — total **50 coins**. Unit (shiny) and x10/x100/x1,000/x10,000 (matte engraving). **Everything included** — no selection needed.

**Contents:**
- 50 coins (2 of each design)
- All metals and multipliers
- Double copies for heavy use

*Use multipliers to speed up counting without breaking immersion.*";"Double exemplaire de chaque modèle pour 50 pièces prêtes à l'emploi avec tous les multiplicateurs.";"Two copies of every design for 50 ready-to-play coins including every multiplier.";/media/products/bundles/Royaume.webp|/media/products/bundles/RoyaumePlast.webp|/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp|/media/products/coins/x1f2.webp|/media/products/coins/x1p2.webp;;;;"{""copper"":{""1"":2,""10"":2,""100"":2,""1000"":2,""10000"":2},""silver"":{""1"":2,""10"":2,""100"":2,""1000"":2,""10000"":2},""electrum"":{""1"":2,""10"":2,""100"":2,""1000"":2,""10000"":2},""gold"":{""1"":2,""10"":2,""100"":2,""1000"":2,""10000"":2},""platinum"":{""1"":2,""10"":2,""100"":2,""1000"":2,""10000"":2}}";;FAUX;;;pieces
coin-lord-treasury-uniform;"La Trésorerie du Seigneur";"The Lord's Treasury";275;"### 50 pièces pour l'opulence

**10 pièces de chaque métal** (cuivre, argent, électrum, or, platine) appliquant **le même multiplicateur** choisi à l'achat : *unitaire* par défaut (brillant) ou **x10 / x100 / x1 000 / x10 000** (gravure mate).

**Contenu :**
- 10 pièces de cuivre
- 10 pièces d'argent
- 10 pièces d'électrum
- 10 pièces d'or
- 10 pièces de platine

*Utilisez les multiplicateurs pour accélérer les comptes sans perdre l'immersion.*";"### 50 coins for opulence

**10 coins of each metal** (copper, silver, electrum, gold, platinum) using the **same multiplier** selected at checkout: *unit* by default (shiny) or **x10 / x100 / x1,000 / x10,000** (matte engraving).

**Contents:**
- 10 copper coins
- 10 silver coins
- 10 electrum coins
- 10 gold coins
- 10 platinum coins

*Use multipliers to speed up counting without breaking immersion.*";"Sélection de 50 pièces d'un même multiplicateur pour assurer une trésorerie abondante et cohérente.";"Selection of 50 coins sharing one multiplier to deliver a plentiful, consistent treasury.";/media/products/bundles/Essence.webp|/media/products/bundles/EssencePlast.webp|/media/products/coins/coin-copper-1.webp|/media/products/coins/coin-silver-1.webp|/media/products/coins/coin-electrum-1.webp|/media/products/coins/coin-gold-1.webp|/media/products/coins/coin-platinum-1.webp|/media/products/coins/x1f2.webp|/media/products/coins/x1p2.webp;1|10|100|1000|10000;;;"{""copper"":10,""silver"":10,""electrum"":10,""gold"":10,""platinum"":10}";;FAUX;;;pieces
cards-random-discovery-10;"10 Cartes Surprise";"10 Random Cards";10;"### Découverte aléatoire";cards;cards;;/media/products/cards/alexandrite-recto.webp;;;;;;FAUX;;;cards
cards-weapons-armor-60;"Armes & Armures";"Weapons & Armor";21;"### Combat complet - 60 cartes\n\nCollection essentielle de **60 cartes** pour équiper vos combattants : arsenal complet d'armes de mêlée et à distance, protections légères aux lourdes, et boucliers.\n\n**Contenu :**\n- **44 armes** : mêlée, distance, exotiques, armes à feu modernes et futuristes\n- **14 armures** : légères, intermédiaires, lourdes\n- **2 boucliers** : métal et bois\n\n*L'essentiel pour équiper guerriers, aventuriers et soldats !*";"### Complete combat arsenal - 60 cards\n\nEssential collection of **60 cards** to arm your fighters: complete arsenal of melee and ranged weapons, light to heavy protection, and shields.\n\n**Contents:**\n- **44 weapons** : melee, ranged, exotic, modern and futuristic firearms\n- **14 armor** : light, medium, heavy\n- **2 shields** : metal and wood\n\n*Everything needed to outfit warriors, adventurers and soldiers!*";"Collection de 60 cartes d'armes et armures pour équiper combattants et aventuriers.";"Collection of 60 weapon and armor cards to equip fighters and adventurers.";/media/products/cards/arme-recto.webp|/media/products/cards/armure-recto.webp;;;;;;FAUX;;;cards
