variable_id,value,unit,name_fr,name_en,description_fr,description_en
# COÛTS BATTERIES PLOMB (par voiturette) - Valeurs réalistes marché canadien 2024
lead_cost_replacement_unit,2000,$,Coût remplacement batterie plomb,Lead battery replacement cost,Coût d'un jeu de batteries plomb de remplacement par voiturette (6-8 batteries),Cost of one lead battery set replacement per cart (6-8 batteries)
lead_maintenance_hours_unit,12,hours,Heures maintenance annuelle plomb,Lead annual maintenance hours,Heures de maintenance réelle par an pour batteries plomb,Actual maintenance hours per year for lead batteries
lead_technician_hourly_rate,100,$,Taux horaire technicien Canada,Canadian technician hourly rate,Taux horaire moyen technicien spécialisé au Canada,Average specialized technician hourly rate in Canada
# lead_maintenance_cost_unit SUPPRIMÉ - Calculé dynamiquement : lead_maintenance_hours_unit × lead_technician_hourly_rate
# lead_maintenance_10y_unit SUPPRIMÉ - Calculé par formule : lead_maintenance_total_10y (utilise taux horaire dynamique)
# lead_total_cost_10y_unit SUPPRIMÉ - Calculé par formule depuis variables de base
lead_replacement_cycle_years,5,years,Cycle remplacement plomb,Lead replacement cycle,Durée moyenne entre remplacements batteries plomb (réaliste),Average duration between lead battery replacements (realistic)
lead_lifespan_max,5,years,Durée vie max plomb,Lead max lifespan,Durée de vie maximale batteries plomb,Maximum lifespan of lead batteries
lead_weight_kg,300,kg,Poids batteries plomb,Lead battery weight,Poids total des batteries plomb par voiturette,Total weight of lead batteries per cart
lead_charging_hours,9,hours,Temps charge plomb,Lead charging time,Temps de charge moyen batteries plomb,Average charging time for lead batteries
lead_cycles_max,500,cycles,Cycles max plomb,Lead max cycles,Nombre maximum de cycles de charge batteries plomb,Maximum charge cycles for lead batteries

# COÛTS BATTERIES LIFEPO4 (par voiturette)
lifepo4_monthly_10y,97.64,$,Prix mensuel LiFePO4 10 ans,LiFePO4 monthly price 10 years,Prix de location mensuel par voiturette contrat 10 ans,Monthly rental price per cart for 10-year contract
lifepo4_monthly_20y,84.36,$,Prix mensuel LiFePO4 20 ans,LiFePO4 monthly price 20 years,Prix de location mensuel par voiturette contrat 20 ans,Monthly rental price per cart for 20-year contract
lifepo4_monthly_fleet,76.73,$,Prix mensuel LiFePO4 flotte,LiFePO4 monthly fleet price,Prix de location mensuel par voiturette offre flotte 30+,Monthly rental price per cart for fleet offer 30+
# lifepo4_total_*_unit SUPPRIMÉES - Calculées par formules : monthly * 12 * durée
lifepo4_weight_kg,40,kg,Poids batteries LiFePO4,LiFePO4 battery weight,Poids total des batteries LiFePO4 par voiturette,Total weight of LiFePO4 batteries per cart
lifepo4_charging_hours,2,hours,Temps charge LiFePO4,LiFePO4 charging time,Temps de charge batteries LiFePO4,Charging time for LiFePO4 batteries
lifepo4_cycles_min,8000,cycles,Cycles min LiFePO4,LiFePO4 min cycles,Nombre minimum de cycles garantis LiFePO4,Minimum guaranteed cycles for LiFePO4
lifepo4_lifespan_min,15,years,Durée vie min LiFePO4,LiFePO4 min lifespan,Durée de vie minimale garantie LiFePO4,Minimum guaranteed lifespan for LiFePO4
lifepo4_lifespan_max,20,years,Durée vie max LiFePO4,LiFePO4 max lifespan,Durée de vie maximale LiFePO4,Maximum lifespan for LiFePO4

# ÉCONOMIES ET COMPARAISONS - Calculées dynamiquement
# savings_10y_unit sera calculé : lead_total_10y_unit - lifepo4_total_10y_unit
# savings_20y_unit sera calculé : (lead_total_10y_unit * 2) - lifepo4_total_20y_unit
# savings_fleet_unit sera calculé : (lead_total_10y_unit * 2) - lifepo4_total_fleet_unit
fleet_minimum_carts,30,units,Minimum voiturettes flotte,Fleet minimum carts,Nombre minimum de voiturettes pour offre flotte,Minimum number of carts for fleet offer

# TEMPS ET IMPACTS OPÉRATIONNELS
fleet_overhead_percent,40,%,Surcoût flotte temps charge,Fleet overhead charging time,Pourcentage voiturettes supplémentaires pour temps charge long,Percentage of additional carts needed for long charging time
extra_fleet_cost_per_cart,800,$,Coût voiturette supplémentaire,Extra cart cost,Coût d'une voiturette supplémentaire pour rotation,Cost of one additional cart for rotation
charging_downtime_hours,8.5,hours,Temps indisponibilité charge,Charging downtime hours,Temps moyen d'indisponibilité pendant charge,Average downtime during charging

# RISQUES ET COÛTS CACHÉS PLOMB - Valeurs réalistes Canada
premature_failure_risk,500,$,Risque bris prématuré,Premature failure risk,Coût risque de bris prématuré par voiturette (réaliste),Cost risk of premature failure per cart (realistic)
premature_failure_percent,20,%,Pourcentage bris prématuré,Premature failure percentage,Pourcentage de risque de bris prématuré sur remplacements,Percentage risk of premature failure on replacements
warranty_replacements,1,units,Remplacements gratuits garantie,Free warranty replacements,Nombre de remplacements couverts par garantie,Number of replacements covered by warranty
recycling_disposal_cost,150,$,Coût recyclage,Recycling cost,Coût de recyclage et disposal par voiturette,Recycling and disposal cost per cart
