variable_id,value,unit,name_fr,name_en,description_fr,description_en
# COÛTS BATTERIES PLOMB (par voiturette)
lead_cost_replacement_unit,2000,$,Coût remplacement batterie plomb,Lead battery replacement cost,Coût d'une batterie plomb de remplacement par voiturette,Cost of one lead battery replacement per cart
lead_maintenance_hours_unit,120,hours,Heures maintenance annuelle plomb,Lead annual maintenance hours,Heures de maintenance obligatoire par an pour batteries plomb,Mandatory maintenance hours per year for lead batteries
lead_maintenance_cost_unit,360,$,Coût maintenance annuel plomb,Lead annual maintenance cost,Coût de maintenance annuel par voiturette (120h × 30$/h),Annual maintenance cost per cart (120h × 30$/h)
lead_maintenance_10y_unit,3600,$,Coût maintenance 10 ans plomb,Lead 10-year maintenance cost,Coût total maintenance sur 10 ans par voiturette,Total maintenance cost over 10 years per cart
lead_total_cost_10y_unit,14140,$,Coût total réel 10 ans plomb,Lead real total 10-year cost,Coût réel total par voiturette sur 10 ans (rempl + maint + risques),Real total cost per cart over 10 years (repl + maint + risks)
lead_replacement_cycle_years,3.5,years,Cycle remplacement plomb,Lead replacement cycle,Durée moyenne entre remplacements batteries plomb,Average duration between lead battery replacements
lead_lifespan_max,5,years,Durée vie max plomb,Lead max lifespan,Durée de vie maximale batteries plomb,Maximum lifespan of lead batteries
lead_weight_kg,300,kg,Poids batteries plomb,Lead battery weight,Poids total des batteries plomb par voiturette,Total weight of lead batteries per cart
lead_charging_hours,9,hours,Temps charge plomb,Lead charging time,Temps de charge moyen batteries plomb,Average charging time for lead batteries
lead_cycles_max,500,cycles,Cycles max plomb,Lead max cycles,Nombre maximum de cycles de charge batteries plomb,Maximum charge cycles for lead batteries

# COÛTS BATTERIES LIFEPO4 (par voiturette)
lifepo4_monthly_10y,97.64,$,Prix mensuel LiFePO4 10 ans,LiFePO4 monthly price 10 years,Prix de location mensuel par voiturette contrat 10 ans,Monthly rental price per cart for 10-year contract
lifepo4_monthly_20y,84.36,$,Prix mensuel LiFePO4 20 ans,LiFePO4 monthly price 20 years,Prix de location mensuel par voiturette contrat 20 ans,Monthly rental price per cart for 20-year contract
lifepo4_monthly_fleet,76.73,$,Prix mensuel LiFePO4 flotte,LiFePO4 monthly fleet price,Prix de location mensuel par voiturette offre flotte 30+,Monthly rental price per cart for fleet offer 30+
lifepo4_total_10y_unit,11716.8,$,Coût total LiFePO4 10 ans,LiFePO4 total 10-year cost,Coût total par voiturette sur 10 ans en location,Total cost per cart over 10 years rental
lifepo4_total_20y_unit,20246.4,$,Coût total LiFePO4 20 ans,LiFePO4 total 20-year cost,Coût total par voiturette sur 20 ans en location,Total cost per cart over 20 years rental
lifepo4_total_fleet_unit,18415.2,$,Coût total LiFePO4 flotte,LiFePO4 total fleet cost,Coût total par voiturette sur 20 ans offre flotte,Total cost per cart over 20 years fleet offer
